product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,1/2 BSPT Female X 3/4 BSPT Female,7.3,B1F-08-12,230,B1F,,,,,1/2,3/4,,,,2,12-Aug,,,,,,,,
,3/4 BSPT Female X 3/4 BSPT Female,10,B1F-12-12,1031,B1F,,,,,3/4,3/4,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Female X 1-0 BSPT Female,16.35,B1F-12-16,211,B1F,,,,,3/4,1,,,,2,16-Dec,,,,,,,,
,1-0 BSPT Female X 1-0 BSPT Female,14.2,B1F-16-16,419,B1F,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Female X 1-1/4 BSPT Female,41.715,B1F-16-20,187,B1F,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-1/4 BSPT Female X 1-1/4 BSPT Female,21.7,B1F-20-20,286,B1F,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/2 BSPT Female X 1-1/2 BSPT Female,31.3,B1F-24-24,184,B1F,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,2-0 BSPT Female X 2-0 BSPT Female,46.15,B1F-32-32,238,B1F,,,,,2,2,,,,2,32-32,,,,,,,,
B1FFS,,POA,,0,,,,BSPT Female X BSPP Female Swicel,,BSPT F,BSPP F/S,,,,0,11940,http://localhost/truflow/public/admin/images/csv_product_img/B1FFS.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/4 BSPT Female X 1/4 BSPP Female Swicel,6.45,B1FFS-04-04,0,B1FFS,,,,,1/4,1/4,,,,2,4-Apr,,,,,,,,
,3/8 BSPT Female X 3/8 BSPP Female Swivel,7.6,B1FFS-06-06,25,B1FFS,,,,,3/8,3/8,,,,2,6-Jun,,,,,,,,
,1/2 BSPT Female X 3/8 BSPP Female Swivel,14.9,B1FFS-08-06,20,B1FFS,,,,,1/2,3/8,,,,2,6-Aug,,,,,,,,
,1/2 BSPT Female X 1/2 BSPP Female Swivel,8.65,B1FFS-08-08,22,B1FFS,,,,,1/2,1/2,,,,2,8-Aug,,,,,,,,
