product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,1/4  BSPP F/S  X 1/4 FIELD ATTACHABLE 90,16.45,FABFS90S-04-04,345,FABFS90S,,,,,1/4,1/4,,,,,4-Apr,,,,,,,,
,3/8 BSPP F/S x 3/8 FIELD ATTACHABLE 90,23.05,FABFS90S-06-06,52,FABFS90S,,,,,3/8,3/8,,,,,6-Jun,,,,,,,,
,1/2 BSPP F/S x 1/2 FIELD ATTACHABLE 90,25,FABFS90S-08-08,69,FABFS90S,,,,,1/2,1/2,,,,,8-Aug,,,,,,,,
,3/4 BSPP F/S x 3/4 FIELD ATTACHABLE 90,45.15,FABFS90S-12-12,103,FABFS90S,,,,,3/4,3/4,,,,,12-Dec,,,,,,,,
,BSPP FEM x FIELD ATTACHABLE 90,60,FABFS90S-16-16,29,FABFS90S,,,,,1,1,,,,,16-16,,,,,,,,
FABM,,0,,0,,,,BSPT MALE X FIELD ATTACHABLE STRAIGHT,,BSPT M,Hose ID,,,,,15640,http://localhost/truflow/public/admin/images/csv_product_img/FABM.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , BSP Field Attachable Tails,,
,BSPT MALE x FIELD ATTACHABLE,6.5,FABM-04-04,35,FABM,,,,,1/4,1/4,,,,,4-Apr,,,,,,,,
,3/8 BSPT MALE X FIELD FIT TAIL,7.8,FABM-06-04,219,FABM,,,,,3/8,1/4,,,,,4-Jun,,,,,,,,
,BSPT MALE x FIELD ATTACHABLE,6.7,FABM-06-06,80,FABM,,,,,3/8,3/8,,,,,6-Jun,,,,,,,,
,1/2 x 3/8 BSPT MALE FIELD ATTACHABLE,10.3,FABM-08-06,14,FABM,,,,,1/2,3/8,,,,,6-Aug,,,,,,,,
,1/2 BPT Male x 1/2 Field attachable,7.95,FABM-08-08,28,FABM,,,,,1/2,1/2,,,,,8-Aug,,,,,,,,
,BSPT MALE x FIELD ATTACHABLE,13,FABM-12-12,117,FABM,,,,,3/4,3/4,,,,,12-Dec,,,,,,,,
,BSPT MALE x FIELD ATTACHABLE,18,FABM-16-16,41,FABM,,,,,1,1,,,,,16-16,,,,,,,,
FAJFS,,POA,,POA,,,,JIC FEMALE SWIVEL X FIELD ATTACHABLE STRAIGHT,,JIC F,Hose ID,,,,,15700,http://localhost/truflow/public/admin/images/csv_product_img/FAJFS.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,7/16 JIC X 1/4 FIELD ATTACHABLE,8.5,FAJFS-04-04,193,FAJFS,,,,,7/16,1/4,,,,,4-Apr,,,,,,,,
,9/16 JIC F/S x 1/4  FIELD ATTACHABLE,7.9,FAJFS-06-04,187,FAJFS,,,,,9/16,1/4,,,,,4-Jun,,,,,,,,
,9/16 x 3/8 JIC F/S FIELD ATTACHABLE,6.8,FAJFS-06-06,176,FAJFS,,,,,9/16,3/8,,,,,6-Jun,,,,,,,,
,3/4 JIC F/S x FIELD ATTACHABLE,8.5,FAJFS-08-06,80,FAJFS,,,,,3/4,3/8,,,,,6-Aug,,,,,,,,
,3/4 x 1/2 JIC F/S FIELD ATTACHABLE,8.95,FAJFS-08-08,208,FAJFS,,,,,3/4,1/2,,,,,8-Aug,,,,,,,,
,7/8 JIC F/S x 1/2 FIELD ATTACHABLE,9.1,FAJFS-10-08,35,FAJFS,,,,,7/8,1/2,,,,,8-Oct,,,,,,,,
,1-1/16 x 3/4 JIC F/S FIELD ATTACHABLE,16.95,FAJFS-12-12,68,FAJFS,,,,,1 1/16,3/4,,,,,12-Dec,,,,,,,,
,1-5/16 JIC F/S x FIELD ATTACHABLE,23.5,FAJFS-16-16,33,FAJFS,,,,,1 5/16,1,,,,,16-16,,,,,,,,
FAJFS45S,,POA,,0,,,,JIC FEMALE SWIVEL X FIELD ATTACHABLE SWEPT 45¿,,JIC F,Hose ID,,,,,15720,http://localhost/truflow/public/admin/images/csv_product_img/FAJFS45S.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,7/16 JIC FemaleSwivel45¿X1/4F/Attachable,34.29,FAJFS45S-04-04,0,FAJFS45S,,,,,7/16,1/4,,,,,4-Apr,,,,,,,,
,9/16 JICFemaleSwivelX3/8Field Attachable,10.4,FAJFS45S-06-06,0,FAJFS45S,,,,,9/16,3/8,,,,,6-Jun,,,,,,,,
FAJFS90C,,POA,,POA,,,,JIC FEMALE SWIVEL X FIELD ATTACHABLE COMPACT 90¿,,JIC F,Hose ID,,,,,15760,http://localhost/truflow/public/admin/images/csv_product_img/FAJFS90C.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,7/16 JIC Female Swivel 90¿ Compact X 1/4 Hose Tail,9.3,FAJFS90C-04-04,60,FAJFS90C,,,,,7/16,1/4,,,,,4-Apr,,,,,,,,
,9/16 JIC Female Swivel 90¿Compact X 1/4 Hose Tail,14.8,FAJFS90C-06-04,100,FAJFS90C,,,,,9/16,1/4,,,,,4-Jun,,,,,,,,
,9/16 JIC Female Swivel 90¿Compact X 3/8 Hose Tail,14.8,FAJFS90C-06-06,100,FAJFS90C,,,,,9/16,3/8,,,,,6-Jun,,,,,,,,
,3/4 JIC Female Swivel 90¿ Compact X 3/8 Hose Tail,20.5,FAJFS90C-08-06,60,FAJFS90C,,,,,3/4,3/8,,,,,6-Aug,,,,,,,,
,3/4 JIC Female Swivel 90¿Compact X 1/2 Hose Tail,19.75,FAJFS90C-08-08,20,FAJFS90C,,,,,3/4,1/2,,,,,8-Aug,,,,,,,,
,7/8 JIC Female Swivel 90¿ Compact X 1/2 Hose Tail,22.45,FAJFS90C-10-08,20,FAJFS90C,,,,,7/8,1/2,,,,,8-Oct,,,,,,,,
,1-1/16 JIC Female Swivel 90¿ Compact X 3/4 Hose Tail,45.45,FAJFS90C-12-12,20,FAJFS90C,,,,,1 1/16,3/4,,,,,12-Dec,,,,,,,,
,1-5/16 JIC Female Swivel 90¿ Compact X 1-0 Hose Tail,79.7,FAJFS90C-16-16,20,FAJFS90C,,,,,1 5/16,1,,,,,16-16,,,,,,,,
FAJFS90S,,0,,POA,,,,JIC FEMALE SWIVEL X FIELD ATTACHABLE SWEPT 90¿,,JIC F,Hose ID,,,,,15730,http://localhost/truflow/public/admin/images/csv_product_img/FAJFS90S.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,JIC F/S X FIELD ATTACHABLE 90,15.75,FAJFS90S-04-04,179,FAJFS90S,,,,,7/16,1/4,,,,,4-Apr,,,,,,,,
,JIC F/S x FIELD ATTACHABLE,20.95,FAJFS90S-06-04,170,FAJFS90S,,,,,9/16,1/4,,,,,4-Jun,,,,,,,,
,JIC F/S x FIELD ATTACHABLE 90,20.95,FAJFS90S-06-06,161,FAJFS90S,,,,,9/16,3/8,,,,,6-Jun,,,,,,,,
,3/4 JIC F/S x FIELD ATTACHABLE SWEPT 90,24.1,FAJFS90S-08-06,81,FAJFS90S,,,,,3/4,3/8,,,,,6-Aug,,,,,,,,
,3/4 x 1/2 JIC 90¿ F/S x FIELD ATTACHABLE,25.15,FAJFS90S-08-08,73,FAJFS90S,,,,,3/4,1/2,,,,,8-Aug,,,,,,,,
,JIC F/S x FIELD ATTACHABLE 90,26.1,FAJFS90S-10-08,53,FAJFS90S,,,,,7/8,1/2,,,,,8-Oct,,,,,,,,
,7/8 JIC Female Swivel 90¿ X 5/8 Field Attachable Hose Tail,0,FAJFS90S-10-10,0,FAJFS90S,,,,,7/8,5/8,,,,,10-Oct,,,,,,,,
,JIC F/S x FIELD ATTACHABLE 90,38.5,FAJFS90S-12-12,56,FAJFS90S,,,,,1 1/16,3/4,,,,,12-Dec,,,,,,,,
,JIC F/S x FIELD ATTACHABLE 90,63.9,FAJFS90S-16-16,91,FAJFS90S,,,,,1 5/16,1,,,,,16-16,,,,,,,,
FAJFS90SL,,POA,,POA,,,,JIC FEMALE SWIVEL X FIELD ATTACHABLE SWEPT 90¿,,JIC F,Hose ID,,,,,15740,http://localhost/truflow/public/admin/images/csv_product_img/FAJFS90SL.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,9/16JICFemaleSwivel90S(Long Drop) X H/T,19.81,FAJFS90SL-06-04,43,FAJFS90SL,,,,,9/16,1/4,,,,,4-Jun,,,,,,,,
,9/16JICFemaleSwivel90S(Long Drop)X3/8H/T,19.81,FAJFS90SL-06-06,44,FAJFS90SL,,,,,9/16,3/8,,,,,6-Jun,,,,,,,,
,3/4 JIC Female Swivel 90¿¿(Long Drop) X 1/2 Field Attachable,59.2,FAJFS90SL-08-08,20,FAJFS90SL,,,,,3/4,1/2,,,,,8-Aug,,,,,,,,
FAJISFS,,POA,,POA,,,,JIS (BSPP) FEMALE SWIVEL X FIELD ATTACHABLE STRAIGHT,,JIS F,Hose ID,,,,,15710,http://localhost/truflow/public/admin/images/csv_product_img/FAJISFS.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,3/8 JIS(BSPP) Female Swivel X 1/4 Hose,9.65,FAJISFS-06-04,443,FAJISFS,,,,,3/8,1/4,,,,,4-Jun,,,,,,,,
,3/8 BSPP (JIS) Female Swivel X 3/8 H/T,7.59,FAJISFS-06-06,192,FAJISFS,,,,,3/8,3/8,,,,,6-Jun,,,,,,,,
FAJISFS90S,,0,,0,,,,JIS (BSPP) FEMALE SWIVEL X FIELD ATTACHABLE SWEPT 90¿,,JIC F,Hose ID,,,,,15750,http://localhost/truflow/public/admin/images/csv_product_img/FAJISFS90S.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,JIS 3/8 BSPP 90¿ FEM SWIVX1/4HOSETAIL FA,40.05,FAJISFS90S-06-04,328,FAJISFS90S,,,,,3/8,1/4,,,,,4-Jun,,,,,,,,
,3/8 JIS(BSPP) Female Swivel 90SX 3/8 H/T,62.33,FAJISFS90S-06-06,308,FAJISFS90S,,,,,3/8,3/8,,,,,6-Jun,,,,,,,,
FAJM,,POA,,0,,,,JIC MALE X FIELD ATTACHABLE STRAIGHT,,JIC M,Hose ID,,,,,15690,http://localhost/truflow/public/admin/images/csv_product_img/FAJM.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , JIC Field Attachable Tails,,
,7/16 JIC Male X 1/4 FieldAttachable Tail,16.65,FAJM-04-04,20,FAJM,,,,,7/16,1/4,,,,,4-Apr,,,,,,,,
,9/16 JIC Male X 1/4 Field Attachable Hose Tail,5.85,FAJM-06-04,37,FAJM,,,,,9/16,1/4,,,,,4-Jun,,,,,,,,
,JIC 9/16  MALE X 3/8 FIELD FITTING,13.31,FAJM-06-06,72,FAJM,,,,,9/16,3/8,,,,,6-Jun,,,,,,,,
,3/4 JIC Male X 3/8 Field Attachable Hose Tail,8.65,FAJM-08-06,0,FAJM,,,,,3/4,3/8,,,,,6-Aug,,,,,,,,
,JIC MALE X FIELD FIT TAIL,7.1,FAJM-08-08,49,FAJM,,,,,3/4,1/2,,,,,8-Aug,,,,,,,,
,JIM MALE X 1/2 FIELD FITTING,16.05,FAJM-10-08,20,FAJM,,,,,7/8,1/2,,,,,8-Oct,,,,,,,,
,JIC 1 1/16  MALE X 3/4  FIELD FIT TAIL,14.1,FAJM-12-12,272,FAJM,,,,,1 1/16,3/4,,,,,12-Dec,,,,,,,,
FAN1,,POA,,POA,,,,FIELD ATTACHABLE FERRUEL SUIT  1 WIRE,,,Hose ID,,,,,15620,http://localhost/truflow/public/admin/images/csv_product_img/FAN1.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , Field Attachable Ferrules,,
,ONE WIRE FIELD FERRULE,6.1,FAN1-04,943,FAN1,,,,,,1/4,,,,,4,,,,,,,,
,ONE WIRE FIELD FERRULE,7.9,FAN1-06,368,FAN1,,,,,,3/8,,,,,6,,,,,,,,
,ONE WIRE FIELD FERRULE,8.85,FAN1-08,521,FAN1,,,,,,1/2,,,,,8,,,,,,,,
,ONE WIRE FIELD FERRULE,13.05,FAN1-12,293,FAN1,,,,,,3/4,,,,,12,,,,,,,,
,ONE WIRE FIELD FERRULE,20.05,FAN1-16,23,FAN1,,,,,,1,,,,,16,,,,,,,,
FAN2,,0,,0,,,,FIELD ATTACHABLE FERRUEL SUIT  2 WIRE,,,Hose ID,,,,,15630,http://localhost/truflow/public/admin/images/csv_product_img/FAN2.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , Field Attachable Ferrules,,
,TWO WIRE FIELD FERRULE,6.1,FAN2-04,602,FAN2,,,,,,1/4,,,,,4,,,,,,,,
,TWO WIRE FIELD FERRULE,9.7,FAN2-06,496,FAN2,,,,,,3/8,,,,,6,,,,,,,,
,TWO WIRE FIELD FERRULE,11.06,FAN2-08,199,FAN2,,,,,,1/2,,,,,8,,,,,,,,
,TWO WIRE FIELD FERRULE,12.85,FAN2-12,57,FAN2,,,,,,3/4,,,,,12,,,,,,,,
,TWO WIRE FIELD FERRULE,19.85,FAN2-16,71,FAN2,,,,,,1,,,,,16,,,,,,,,
FAORSFS,,POA,,POA,,,,ORFS FEMALE SWIVEL X FIELD ATTACHABLE STRAIGHT,,ORFS F,Hose ID,,,,,15780,http://localhost/truflow/public/admin/images/csv_product_img/FAORSFS.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , ORFS Field Attachable Tails,,
FAORSFS90S,,0,,0,,,,ORFS FEMALE SWIVEL X FIELD ATTACHABLE SWEPT 90¿,,ORFS F,Hose ID,,,,,15790,http://localhost/truflow/public/admin/images/csv_product_img/FAORSFS90S.jpg,Hydraulic , Fittings , Economy Range , Economy Field Attachable Tails , ORFS Field Attachable Tails,,
,9/16 ORS Female Swivel 90¿ X 1/4 Hose Tail,11.65,FAORSFS90S-04-04,0,FAORSFS90S,,,,,9/16,1/4,,,,,4-Apr,,,,,,,,
,11/16 ORS Female Swivel 90¿ X 3/8 Hose Tail,14.45,FAORSFS90S-06-06,0,FAORSFS90S,,,,,11/16,3/8,,,,,6-Jun,,,,,,,,
FAR5BFS,,POA,,POA,,,,BSPP FEMALE SWIVEL X R5 FIELD ATTACHABLE STRAIGHT,,BSPP F,Hose ID,,,,,15810,http://localhost/truflow/public/admin/images/csv_product_img/FAR5BFS.jpg,Hydraulic , Fittings , Economy Range , Economy R5 Field Attachable Tails , BSP R5 Field Attachable Tails,,
,1/4 BSPP Female Swivel X 3/16 ID R5 Hose,15.95,FAR5BFS-04-04,24,FAR5BFS,,,,,1/4,3/16,,,,,4-Apr,,,,,,,,
,3/8 BSPP Female Swivel X 5/16 ID R5 Hose,20,FAR5BFS-06-06,49,FAR5BFS,,,,,3/8,5/16,,,,,6-Jun,,,,,,,,
,1/2 BSPP Female Swivel X13/32 ID R5 Hose,23.05,FAR5BFS-08-08,34,FAR5BFS,,,,,1/2,13/32,,,,,8-Aug,,,,,,,,
,3/4 BSPP Female Swivel X 5/8 ID R5 Hose Field Attachable,44.65,FAR5BFS-12-12,0,FAR5BFS,,,,,3/4,5/8,,,,,12-Dec,,,,,,,,
,1-0 BSPP Female Swivel X 7/8 ID R5 Hose Field Attachable,181.9,FAR5BFS-16-16,8,FAR5BFS,,,,,1,7/8,,,,,16-16,,,,,,,,
FAR5JFS,,0,,0,,,,JIC FEMALE SWIVEL X R5 FIELD ATTACHABLE STRAIGHT,,JIC F,Hose ID,,,,,15830,http://localhost/truflow/public/admin/images/csv_product_img/FAR5JFS.jpg,Hydraulic , Fittings , Economy Range , Economy R5 Field Attachable Tails , JIC R5 Field Attachable Tails,,
,JIC F/S TO SUIT 3/16 R5 -04,32.6,FAR5JFS-04-04,797,FAR5JFS,,,,,7/16,3/16,,,,,4-Apr,,,,,,,,
,9/16 JIC Female Swivel X 5/16 ID R5 Tail,34.1,FAR5JFS-06-06,90,FAR5JFS,,,,,9/16,5/16,,,,,6-Jun,,,,,,,,
,9/16 JIC Female Swivel X 13/32 SAE100R5 Field Attachable,78.8,FAR5JFS-06-08,0,FAR5JFS,,,,,9/16,13/32,,,,,8-Jun,,,,,,,,
,3/4 JIC Female Swivel X 5/16 ID R5,54.05,FAR5JFS-08-06,28,FAR5JFS,,,,,3/4,5/16,,,,,6-Aug,,,,,,,,
,JIC F/S TO SUIT 13/32  R5 -08,36.75,FAR5JFS-08-08,159,FAR5JFS,,,,,3/4,13/32,,,,,8-Aug,,,,,,,,
,3/4 JIC Female Swivel X 1/2 ID SAE100R5 Hose fitting,34.7,FAR5JFS-08-10,37,FAR5JFS,,,,,3/4,1/2,,,,,10-Aug,,,,,,,,
,JIC F/S TO SUIT 1/2 R5 -10,46.5,FAR5JFS-10-10,204,FAR5JFS,,,,,7/8,1/2,,,,,10-Oct,,,,,,,,
,1-1/16 JIC Female Swivel X 1/2 ID R5,144.85,FAR5JFS-12-10,0,FAR5JFS,,,,,1 1/16,1/2,,,,,10-Dec,,,,,,,,
,JIC  F/S TO SUIT 5/8 R5 -12,107.7,FAR5JFS-12-12,147,FAR5JFS,,,,,1 1/16,5/8,,,,,12-Dec,,,,,,,,
,JIC F/S TO SUIT 7/8 R5 -16,76.3,FAR5JFS-16-16,0,FAR5JFS,,,,,1 5/16,7/8,,,,,16-16,,,,,,,,
,1-5/8 JIC Female SwivelX1-1/8 ID R5 Hose,243.9,FAR5JFS-20-20,48,FAR5JFS,,,,,1 5/8,1 1/8,,,,,20-20,,,,,,,,
FAR5JFS45S,,POA,,POA,,,,JIC FEMALE SWIVEL X R5 FIELD ATTACHABLE SWEPT 45¿,,JIC F,Hose ID,,,,,15840,http://localhost/truflow/public/admin/images/csv_product_img/FAR5JFS45S.jpg,Hydraulic , Fittings , Economy Range , Economy R5 Field Attachable Tails , JIC R5 Field Attachable Tails,,
,7/16 JIC Female Swivel 45¿ X 3/16 ID R5,63.95,FAR5JFS45S-04-04,938,FAR5JFS45S,,,,,7/16,3/16,,,,,4-Apr,,,,,,,,
,9/16 JIC Female Swivel 45¿ X 5/16 ID R5,61.85,FAR5JFS45S-06-06,2,FAR5JFS45S,,,,,9/16,5/16,,,,,6-Jun,,,,,,,,
,3/4  JIC F/S 45 SWEPT TO SUIT R5,66.35,FAR5JFS45S-08-08,10,FAR5JFS45S,,,,,3/4,13/32,,,,,8-Aug,,,,,,,,
,7/8 JIC Female Swivel 45¿ X 1/2 ID R5,103.15,FAR5JFS45S-10-10,26,FAR5JFS45S,,,,,7/8,1/2,,,,,10-Oct,,,,,,,,
,1-1/16 JIC Female Swivel 45¿ X 5/8 ID R5,145.7,FAR5JFS45S-12-12,20,FAR5JFS45S,,,,,1 1/16,5/8,,,,,12-Dec,,,,,,,,
,1-5/16JIC Female Swivel  45¿X7/8ID SAE100R5 Field Attachable,130.6,FAR5JFS45S-16-16,0,FAR5JFS45S,,,,,1 5/16,7/8,,,,,16-16,,,,,,,,
FAR5JFS90S,,POA,,POA,,,,JIC FEMALE SWIVEL X R5 FIELD ATTACHABLE SWEPT 90¿,,JIC F,Hose ID,,,,,15850,http://localhost/truflow/public/admin/images/csv_product_img/FAR5JFS90S.jpg,Hydraulic , Fittings , Economy Range , Economy R5 Field Attachable Tails , JIC R5 Field Attachable Tails,,
,R5 90 DEGREE FIELD ATTACHABLE,57.25,FAR5JFS90S-04-04,855,FAR5JFS90S,,,,,7/16,3/16,,,,,4-Apr,,,,,,,,
,1/2 JIC Female Swivel 90¿ X 1/4 ID R5 Tail,193.85,FAR5JFS90S-05-05,3,FAR5JFS90S,,,,,1/2,1/2,,,,,5-May,,,,,,,,
,9/16 JIC Female Swivel 90¿ X 5/16 ID R5,48.35,FAR5JFS90S-06-06,24,FAR5JFS90S,,,,,9/16,5/16,,,,,6-Jun,,,,,,,,
,3/4 JIC Female Swivel 90¿ X 13/32 ID R5,61.4,FAR5JFS90S-08-08,65,FAR5JFS90S,,,,,3/4,13/32,,,,,8-Aug,,,,,,,,
,3/4 JIC Female Swivel 90¿  X 1/2 ID SAE100R5 Hose Fitting,59.9,FAR5JFS90S-08-10,0,FAR5JFS90S,,,,,3/4,1/2,,,,,10-Aug,,,,,,,,
,7/8 JIC Femals Swivel 90¿ X 1/2 ID R5,81.6,FAR5JFS90S-10-10,72,FAR5JFS90S,,,,,7/8,1/2,,,,,10-Oct,,,,,,,,
,1-1/16 JIC Female Swivel 90S X 5/8 ID R5,171.25,FAR5JFS90S-12-12,91,FAR5JFS90S,,,,,1 1/16,5/8,,,,,12-Dec,,,,,,,,
,1-5/16 JIC Female Swivel 90¿ X 7/8 ID R5,130.6,FAR5JFS90S-16-16,67,FAR5JFS90S,,,,,1 5/16,7/8,,,,,16-16,,,,,,,,
,1-5/8 JIC Female Swivel 90¿ X1-1/8 SAE100R5 Field Attachable,437.2,FAR5JFS90S-20-20,19,FAR5JFS90S,,,,,1 5/8,1 1/8,,,,,20-20,,,,,,,,
FAR5SFS,,0,,0,,,,SAE 45¿ FLARE FEMALE SWIVEL X R5 FIELD ATTACHABLE STRAIGHT,,SAE F,Hose ID,,,,,15890,http://localhost/truflow/public/admin/images/csv_product_img/FAR5SFS.jpg,Hydraulic , Fittings , Economy Range , Economy R5 Field Attachable Tails , SAE R5 Field Attachable Tails,,
,5/8 SAE Female Swivel X 5/16 R5 Hose,35.2,FAR5SFS-06-06,0,FAR5SFS,,,,,5/8,5/16,,,,,6-Jun,,,,,,,,
FAR5SFS90S,,0,,0,,,,SAE 45¿ FLARE FEMALE SWIVEL X R5 FIELD ATTACHABLE SWEPT 45¿,,SAE F,Hose ID,,,,,15910,http://localhost/truflow/public/admin/images/csv_product_img/FAR5SFS90S.jpg,Hydraulic , Fittings , Economy Range , Economy R5 Field Attachable Tails , SAE R5 Field Attachable Tails,,
,5/8 SAE Female Swivel X 5/16 ID R5 90¿,64.5,FAR5SFS90S-06-06,15,FAR5SFS90S,,,,,5/8,5/16,,,,,6-Jun,,,,,,,,
FB61,,0,,0,,,,Code 62 Flange Blank (High Pressure),,Code 62,,,,,,14620,http://localhost/truflow/public/admin/images/csv_product_img/FB61.jpg,Hydraulic , Adaptors , SAE Flange , Flange Blanks,,,
,1/2 Code 61 Flange Blank (High Pressure),48.1,FB61-08,10,FB61,,,,,1/2,,,,,,8,,,,,,,,
,3/4 Code 61 Flange Blank - High Pressure,50.85,FB61-12,10,FB61,,,,,3/4,,,,,,12,,,,,,,,
,1.0 Code 61 Flange Blank(High Pressure),56.65,FB61-16,10,FB61,,,,,1,,,,,,16,,,,,,,,
,Flange Blank Code 61 X 1-1/4 - High Pressure,66.72,FB61-20,10,FB61,,,,,1 1/4,,,,,,20,,,,,,,,
,Flange Blank Code 61 X 1-1/2 - High Pressure,69.2,FB61-24,10,FB61,,,,,1 1/2,,,,,,24,,,,,,,,
,Flange Blank Code 61 X 2-0 - High Pressure,47.2,FB61-32,10,FB61,,,,,,,,,,,,,,,,,,,
FB62,,POA,,POA,,,,Code 62 Flange BlankHigh Pressure,,Code 62,,,,,,14630,http://localhost/truflow/public/admin/images/csv_product_img/FB62.jpg,Hydraulic , Adaptors , SAE Flange , Flange Blanks,,,
,1/2 Code Flange Blank - High Pressure,32.3,FB62-08,10,FB62,,,,,1/2,,,,,,8,,,,,,,,
,3/4 Code Flange Blank - High Pressure,30.15,FB62-12,10,FB62,,,,,3/4,,,,,,12,,,,,,,,
,1-0 Code Flange Blank - High Pressure,37.75,FB62-16,10,FB62,,,,,1,,,,,,16,,,,,,,,
,1-1/4 Code Flange Blank - High Pressure,143,FB62-20,10,FB62,,,,,1 1/4,,,,,,20,,,,,,,,
,1-1/2 Code 62 Flange Blank - High Pressure,213.9,FB62-24,10,FB62,,,,,1 1/2,,,,,,24,,,,,,,,
,2-0 Code 62 Flange Blank - High Pressure,473.3,FB62-32,9,FB62,,,,,2,,,,,,32,,,,,,,,
FBI61,,0,,0,,,,Code 61 Flange Blank Insert,,Code 61,,,,,,14640,http://localhost/truflow/public/admin/images/csv_product_img/FBI61.jpg,Hydraulic , Adaptors , SAE Flange , Flange Blanks,,,
,1/2 Code 61 Flange Blank Insert,7.4,FBI61-08,50,FBI61,,,,,1/2,,,,,,8,,,,,,,,
,3/4 Code 61 Flange  Blank Insert,7.45,FBI61-12,439,FBI61,,,,,3/4,,,,,,12,,,,,,,,
,1-0 Code 61 Flange Blank Insert,8.3,FBI61-16,356,FBI61,,,,,1,,,,,,16,,,,,,,,
,1-1/4 Code 61 Flange Blank Insert,9.2,FBI61-20,379,FBI61,,,,,1 1/4,,,,,,20,,,,,,,,
,1-1/2 Code 61 Flange Blank Insert,11.2,FBI61-24,354,FBI61,,,,,1 1/2,,,,,,24,,,,,,,,
,2-0 Code 61 Flange Blank Insert,12.7,FBI61-32,423,FBI61,,,,,2,,,,,,32,,,,,,,,
,2-1/2 Code 61 Flange Blank Insert,18.15,FBI61-40,200,FBI61,,,,,2 1/2,,,,,,40,,,,,,,,
,3-0 Code61 Flange Blank Insert,46.25,FBI61-48,263,FBI61,,,,,3,,,,,,48,,,,,,,,
FBI62,,POA,,POA,,,,Code 62 Flange Blank Insert,,Code 62,,,,,,14650,http://localhost/truflow/public/admin/images/csv_product_img/FBI62.jpg,Hydraulic , Adaptors , SAE Flange , Flange Blanks,,,
,1/2 Code 62 Flange  Blank Insert,13.15,FBI62-08,6,FBI62,,,,,1/2,,,,,,8,,,,,,,,
,3/4 Code 62 Flange Blank Insert,7.75,FBI62-12,793,FBI62,,,,,3/4,,,,,,12,,,,,,,,
,1-0 Code 62 Flange Blank Insert,10.2,FBI62-16,607,FBI62,,,,,1,,,,,,16,,,,,,,,
,1-1/4 Code62 Flange Blank Insert,11.95,FBI62-20,673,FBI62,,,,,1 1/4,,,,,,20,,,,,,,,
,1-1/2 Code 62 Flange Blank Insert,15.6,FBI62-24,946,FBI62,,,,,1 1/2,,,,,,24,,,,,,,,
,2-0 Code 62 Flange  Blank Insert,34.65,FBI62-32,773,FBI62,,,,,2,,,,,,32,,,,,,,,
FBL61,,0,,0,,,,Code 61 Flange Blank (Low Pressure),,Code 61,,,,,,14660,http://localhost/truflow/public/admin/images/csv_product_img/FBL61.jpg,Hydraulic , Adaptors , SAE Flange , Flange Blanks,,,
,1/2 Code 61 Flange Blank Low Pressure  W.P. 7 Bar,49.75,FBL61-08,10,FBL61,,,,,1/2,,,,,,8,,,,,,,,
,3/4 Code 61 O-Ring Face Flange Blank Low Pressure,51.5,FBL61-12,24,FBL61,,,,,3/4,,,,,,12,,,,,,,,
,1-0 Code 61 Flange Blank Low Pressure,55.1,FBL61-16,29,FBL61,,,,,1,,,,,,16,,,,,,,,
,1-1/4 Code 61 Flange Blank Low Pressure,58.05,FBL61-20,11,FBL61,,,,,1 1/4,,,,,,20,,,,,,,,
,1-1/2 Code 61 O-Ring Face Flange Blank Low Pressure,67.55,FBL61-24,10,FBL61,,,,,1 1/2,,,,,,24,,,,,,,,
,2-0 Code 61  Flange Blank Low Pressure,69.55,FBL61-32,20,FBL61,,,,,2,,,,,,32,,,,,,,,
,2-1/2 Code 61  Blank Low Pressure,90.6,FBL61-40,20,FBL61,,,,,2 1/2,,,,,,40,,,,,,,,
,3-0 Code 61 O-Ring Face Flange Blank Low Pressure,105.25,FBL61-48,5,FBL61,,,,,3,,,,,,48,,,,,,,,
,3-1/2 Code 61  Blank Low Pressure,126.95,FBL61-56,12,FBL61,,,,,3 1/2,,,,,,56,,,,,,,,
